L,W,J2,hilbert_dim,window_size,diag_mode,arpack_tol,arpack_maxiter,arpack_converged_all,mean_nconv,emin_mean,emax_mean,avg_spacing_mean,r_mean,r_sem,ipr_mean,ipr_sem,n_realizations
8,0.5,0.0,70,80,dense,1e-10,5000,True,70.0,-3.5507564688328266,2.040841821292853,0.08103765637863304,0.5307410109811864,0.0036482598117520914,0.06699447043722415,0.0006124996841902828,100
8,1.0,0.0,70,80,dense,1e-10,5000,True,70.0,-3.9289142466731466,2.5935810395042904,0.09452891719097735,0.49951415414787786,0.0038688208737860654,0.10618481315893823,0.002306231774778197,100
8,1.5,0.0,70,80,dense,1e-10,5000,True,70.0,-4.443484692198686,3.2690676489716117,0.11177612088652605,0.4734351621920887,0.004145430785753076,0.16678766696093575,0.005142340396387064,100
8,2.0,0.0,70,80,dense,1e-10,5000,True,70.0,-5.059489787117957,4.00934281191592,0.13143235650773732,0.4452294334205862,0.004490091520489627,0.23798575078847903,0.007978778953397585,100
8,2.5,0.0,70,80,dense,1e-10,5000,True,70.0,-5.7455470753328814,4.786749767472996,0.15264198322907066,0.4293763469572761,0.004109702952068763,0.3068168515693141,0.010235881311213793,100
8,3.0,0.0,70,80,dense,1e-10,5000,True,70.0,-6.477595937751952,5.58749075260931,0.17485632884581537,0.42280892491629596,0.004239712998225065,0.36924979007477254,0.012200685394351967,100
8,3.5,0.0,70,80,dense,1e-10,5000,True,70.0,-7.242118549211158,6.4051845617368,0.19778700160794144,0.4267381964128921,0.003806278776301132,0.42435346546189,0.013130246732406283,100
8,4.0,0.0,70,80,dense,1e-10,5000,True,70.0,-8.033068112759857,7.234498664198141,0.22126908372402898,0.412459159165,0.004070273939455885,0.4691414051731945,0.013911731887511752,100
8,4.5,0.0,70,80,dense,1e-10,5000,True,70.0,-8.84164460188978,8.072775732657862,0.245136526587647,0.40778745460416443,0.0038560693385314127,0.5096404040169042,0.014473273769818874,100
8,5.0,0.0,70,80,dense,1e-10,5000,True,70.0,-9.66072816263212,8.918276140388873,0.26926093192784045,0.4105508371810896,0.004109284743817676,0.5439510289032179,0.014926183310780494,100
8,5.5,0.0,70,80,dense,1e-10,5000,True,70.0,-10.487468547533108,9.769093194076442,0.2935733585740515,0.4060543729084749,0.004225078333704028,0.575972525574866,0.015121618603309007,100
8,6.0,0.0,70,80,dense,1e-10,5000,True,70.0,-11.320908073138037,10.624230342635657,0.3180454842865753,0.40586125526910233,0.003991534749759636,0.6031280816849163,0.015111479981787477,100
8,6.5,0.0,70,80,dense,1e-10,5000,True,70.0,-12.15920185620773,11.482049496098162,0.34262683119283904,0.4047609857054708,0.004146992161037597,0.625872198510403,0.014992210214939497,100
8,7.0,0.0,70,80,dense,1e-10,5000,True,70.0,-13.002418105832954,12.341980586426576,0.36731012597477586,0.39961557186091545,0.004706541371526247,0.6468417729551165,0.014974910979798375,100
8,7.5,0.0,70,80,dense,1e-10,5000,True,70.0,-13.850247879821488,13.20367596337791,0.3920858527999912,0.3989627594554094,0.004778857697413332,0.664742455207887,0.01480222204503807,100
8,8.0,0.0,70,80,dense,1e-10,5000,True,70.0,-14.700527672854992,14.066854825641462,0.41691858693473116,0.3955690637179442,0.005029075382489073,0.6813665087999127,0.01487724853108315,100
10,0.5,0.0,252,80,dense,1e-10,5000,True,252.0,-4.489514753002294,2.6415502272960123,0.015196207675517095,0.5315017421844224,0.003734337444110796,0.016067805971013257,0.0001374235172804125,100
10,1.0,0.0,252,80,dense,1e-10,5000,True,252.0,-4.975447897945659,3.3533337007297574,0.01740640329523427,0.5161265982132138,0.003735432580049571,0.03084539263383805,0.0010233125754869708,100
10,1.5,0.0,252,80,dense,1e-10,5000,True,252.0,-5.637555068093112,4.220082271406768,0.02036768799444907,0.46498148737875844,0.00468434481380333,0.06900445624956465,0.0032259798921712387,100
10,2.0,0.0,252,80,dense,1e-10,5000,True,252.0,-6.424496879617486,5.170070841925321,0.02398089737440517,0.4484894871543117,0.003988349686607164,0.12563651382016292,0.0061255626263540764,100
10,2.5,0.0,252,80,dense,1e-10,5000,True,252.0,-7.301413126925005,6.1692289525553825,0.028234763328900733,0.41852763341135507,0.003958297545625074,0.18944504097361434,0.008352210868318603,100
10,3.0,0.0,252,80,dense,1e-10,5000,True,252.0,-8.243743438724174,7.198569594156214,0.032458172828622796,0.4112523426016564,0.003933209949845916,0.24921472947303602,0.01020799040198811,100
10,3.5,0.0,252,80,dense,1e-10,5000,True,252.0,-9.233190496596034,8.247720864743805,0.036703584148224215,0.4006280091423171,0.0031349287685266867,0.3048115993006743,0.011433907955310258,100
10,4.0,0.0,252,80,dense,1e-10,5000,True,252.0,-10.254678635736,9.31155134307324,0.04128180851583779,0.3968102828074903,0.0036350980485863396,0.35330838295473543,0.012502512785302958,100
10,4.5,0.0,252,80,dense,1e-10,5000,True,252.0,-11.29819820231547,10.387405385827742,0.0458843697548799,0.40226449951725607,0.0037515310324587976,0.4023937103185682,0.01363714219104791,100
10,5.0,0.0,252,80,dense,1e-10,5000,True,252.0,-12.358368219866431,11.472141166799908,0.05055313174687314,0.39414071787744265,0.0036355759634640315,0.44188651328973855,0.014219016414223545,100
10,5.5,0.0,252,80,dense,1e-10,5000,True,252.0,-13.429153085865654,12.564706753446409,0.05519957601260929,0.4017425992813714,0.0036114271348284717,0.47685316503826947,0.014557176230269748,100
10,6.0,0.0,252,80,dense,1e-10,5000,True,252.0,-14.509692576434054,13.66265474099206,0.060036937467707024,0.3889420472502627,0.0035441162170679876,0.5086138157475983,0.01464969341249491,100
10,6.5,0.0,252,80,dense,1e-10,5000,True,252.0,-15.597020626180624,14.764909450624268,0.06490830113446568,0.39450368370772504,0.003691072643264015,0.5365356179210088,0.014706052054568477,100
10,7.0,0.0,252,80,dense,1e-10,5000,True,252.0,-16.68997945739648,15.870613573154428,0.06964621958174493,0.39244794405729616,0.0035576691079193196,0.5606746618309728,0.01481591781310308,100
10,7.5,0.0,252,80,dense,1e-10,5000,True,252.0,-17.78757900964521,16.97954170979761,0.07441896292802978,0.39498439989249173,0.0034145277054965055,0.5816266430882506,0.01490976430168266,100
10,8.0,0.0,252,80,dense,1e-10,5000,True,252.0,-18.88839635972226,18.091645832938084,0.07926004558832248,0.38809028085229835,0.0036395014511776532,0.6020965466711441,0.015152355227633429,100
12,0.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-0.559180871528557,0.5588266485621569,0.004413520778453731,0.5332619609910333,0.0037031646548571114,0.004293141430276853,2.9748807422688934e-05,100
12,1.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-0.6372960712806701,0.635946896551029,0.0050263519029452915,0.523076735562021,0.003475092287415123,0.00933068690574551,0.00038446685502609813,100
12,1.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-0.7485170209222878,0.7482495739426969,0.005892222783068994,0.4834187869139289,0.00473960431040424,0.031897475327042075,0.0020775068163607995,100
12,2.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-0.8826835533061785,0.8819894660359852,0.006959396812936978,0.4406183227363168,0.004292273790901077,0.07603588537944633,0.004627085782652377,100
12,2.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.0310253979864417,1.0304901999772944,0.008141089756753124,0.41447081173572947,0.004280278543058694,0.13145420973308253,0.006785846050996693,100
12,3.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.1891134854040062,1.1868884558787727,0.009343663880272739,0.40560607086590605,0.0038892919431521853,0.18685736357335297,0.009033752629343927,100
12,3.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.353361902293352,1.3502209111741736,0.010679887220843091,0.40436951821154016,0.003843930180389807,0.2406394505926125,0.010387820069972345,100
12,4.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.518683781877779,1.5179830570794963,0.012031403750570142,0.39552598257824206,0.003611976812971326,0.2908364285805333,0.011740869933645651,100
12,4.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.6897862333253608,1.6870446585416425,0.013302033197467247,0.39519262208353034,0.003982987294446234,0.3378780529210698,0.012900414835880041,100
12,5.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-1.8614250465151085,1.860187543075825,0.014645616801907424,0.3955108034335841,0.004014772159736927,0.3785489310437164,0.01333449859258184,100
12,5.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.031444105510777,2.0301235979609062,0.01600720868130419,0.3890693556694724,0.003525611239333623,0.4146710341338323,0.013550475492357762,100
12,6.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.200636728465868,2.2015345701556406,0.017450471421842206,0.3923030224675497,0.0036503486085632092,0.4483248739536354,0.01394752050445144,100
12,6.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.368455301939843,2.3706920969132073,0.018807940975054897,0.39028123503316087,0.0033202439882123167,0.47548225067340455,0.014113536621253678,100
12,7.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.5478547381499355,2.5400329247303275,0.020202882001466315,0.3877433631306762,0.004350847886530412,0.4993753182520955,0.014215347011911553,100
12,7.5,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.7236182532978517,2.7158550571812254,0.02163000314987426,0.3899512751133345,0.003738387060849834,0.5207756331501456,0.014089324982662873,100
12,8.0,0.0,924,80,sparse,1e-10,5000,True,250.0,-2.899017597885591,2.891946595713169,0.0230634551969402,0.3874172920435802,0.003549573072503028,0.5446753495142249,0.014419907551976202,100
14,0.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.19320865421018127,0.19326677584095792,0.0012897482498626764,0.5251831517484989,0.004445578522089278,0.0010860707007738532,6.105348745011806e-06,60
14,1.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.2182313390760423,0.21850474630055833,0.001456128084806175,0.5327738181601338,0.004441495518300859,0.0023777132225913655,0.0001606222260250156,60
14,1.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.25665691938569385,0.25646299685069884,0.0017247479872686748,0.49434408485484477,0.005967178251347304,0.01361233473571634,0.0015959961483593002,60
14,2.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.30389869507571365,0.30378781667565813,0.0020218390743418154,0.45536473733125055,0.006229921318071114,0.04383353402988525,0.004678473271299202,60
14,2.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.35617938663625687,0.3559192991617402,0.0023726262383083133,0.4179133338539956,0.0056023411649881606,0.0905192790153336,0.00816346428062381,60
14,3.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.4094234732851538,0.4097387211797775,0.0027362632485407605,0.40064370980302194,0.005583438025215795,0.14016092452529955,0.0107895362152159,60
14,3.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.4678462708332272,0.46779212614551124,0.003063368960471995,0.3968719324072814,0.0045014213944995635,0.1870569102484458,0.0126139339188071,60
14,4.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.5233517699091178,0.5236715688118909,0.003504864322892611,0.3941866906005576,0.0047073703264793425,0.23171573348501268,0.013790420918784125,60
14,4.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.5823003882772294,0.5836730890710632,0.0038991458115457305,0.38701350567336196,0.004972130308392363,0.27181873444784627,0.014521067708179194,60
14,5.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.6443468318176376,0.6437202275315185,0.004329015846142685,0.3913733150053158,0.00448719942410575,0.3109853432127094,0.016000265339181443,60
14,5.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.7040062301818579,0.7036494157723273,0.004758928313085394,0.38271858111632345,0.0041275697238089114,0.3510617216422819,0.01692350759522139,60
14,6.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.7649167519008927,0.7663629545637707,0.005083679062395346,0.37910118060864956,0.004719478769191256,0.3849572295207338,0.01784383190147222,60
14,6.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.8282257406524483,0.8267584884339828,0.005406056239433104,0.3858682027216924,0.005281467443594351,0.41334303517679144,0.017992613413790933,60
14,7.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.8890167204442843,0.8888258146264294,0.005816074691902751,0.3827589532018597,0.004614878386717995,0.44016317894486817,0.018217868829446607,60
14,7.5,0.0,3432,80,sparse,1e-10,5000,True,300.0,-0.9502320962693187,0.9500242693667234,0.006254620504395877,0.3878838488222798,0.005205955960108425,0.4620457451599456,0.018251038954021595,60
14,8.0,0.0,3432,80,sparse,1e-10,5000,True,300.0,-1.0079809871815553,1.0075317272543114,0.006643365053956922,0.3855231261406532,0.004542157133081273,0.48568463393320194,0.0189506994531817,60
